X,Y,incident_id,department,commune,incident_date,details,incident_type_id,gang_affiliations,icon_url
-72.388272,18.987693,452,Artibonite,Verrettes,2025/07/06 08:11:00.185-04,b'Clash between gang and police.',1,[ 14 ],./0.png
-72.390749,18.991901,616,Artibonite,Verrettes,2025/07/28 11:23:00.933-04,,1,[ 14 ],./0.png
-72.3913419,18.9948207,675,Artibonite,Verrettes,2025/08/05 10:05:00-04,b'Confrontation between armed gang and the police',1,[ 14 ],./0.png
-72.308922,18.907423,754,Artibonite,La Chapelle,2025/08/13 13:50:00-04,b'Gang member circulating in the town ',4,[ 14 ],./0.png
-72.305815,18.908462,914,Artibonite,La Chapelle,2025/09/06 14:15:00.082-04,b'Armed men they search people and look in their phones',4,[ 14 ],./0.png
-72.390409,18.993146,1239,Artibonite,Verrettes,2025/10/20 19:45:00-04,b'Clash between gang and armed population.',1,[ 14 ],./0.png
-72.390804,18.992158,1245,Artibonite,Verrettes,2025/10/21 12:55:00.955-04,b'Clash between gang and police helped by armed population.',1,[ 14 ],./0.png
-72.390083,18.991221,1248,Artibonite,Verrettes,2025/10/21 20:09:00-04,b'Clash between gang and armed population.',1,[ 14 ],./0.png
-72.389671,18.991162,1249,Artibonite,Verrettes,2025/10/22 07:06:00.900-04,b'Clash between gang and armed population.',1,[ 14 ],./0.png
-72.389465,18.990679,1252,Artibonite,Verrettes,2025/10/22 12:01:00.530-04,b'Clash between gang and police.',1,[ 14 ],./0.png
-72.390667,18.98935,1254,Artibonite,Verrettes,2025/10/22 15:09:00.899-04,b'Clash between gang and police.',1,[ 14 ],./0.png
-71.93597,18.82864,432,Centre,Lascahobas,2025/07/03 11:26:00-04,b'Two gangs attacked the town and fought several battles for much of the day.',1,"[ 1, 4, 14 ]",./0.png
-71.936142,18.830041,434,Centre,Lascahobas,2025/07/03 14:11:00-04,,1,"[ 1, 4, 14 ]",./0.png
-71.935541,18.828982,435,Centre,Lascahobas,2025/07/03 15:16:00-04,,1,"[ 1, 4, 14 ]",./0.png
-72.339716,18.535749,376,West,Port-au-Prince,2025/06/23 18:46:00-04,,1,[ 15 ],./0.png
-72.310123,18.908392,378,Artibonite,La Chapelle,2025/06/23 19:58:00-04,,1,[ 15 ],./0.png
-71.938631,18.827097,1287,Centre,Lascahobas,2025/10/27 12:52:00.020-04,b'Clash between gang and police.',1,[ 18 ],./0.png
-72.338611,18.530203,350,West,Port-au-Prince,2025/06/20 07:46:00.908-04,,1,[ 18 ],./0.png
-72.337707,18.533989,356,West,Port-au-Prince,2025/06/21 09:34:00-04,,1,[ 18 ],./0.png
-72.338705,18.530236,359,West,Port-au-Prince,2025/06/21 16:08:00-04,,1,[ 18 ],./0.png
-72.337939,18.534095,361,West,Port-au-Prince,2025/06/21 20:45:00-04,,1,[ 18 ],./0.png
-72.338834,18.529934,363,West,Port-au-Prince,2025/06/22 09:50:00-04,,1,[ 18 ],./0.png
-72.333965,18.54624,366,West,Port-au-Prince,2025/06/22 12:36:00-04,,1,[ 18 ],./0.png
-72.2527113,18.62115191,250,West,Croix-Des-Bouquets,2025/06/07 12:11:00-04,b'Gang activity in progress',4,,./0.png
-72.248977124691,18.5811570424725,386,West,Tabarre,2025/06/24 18:55:00-04,b'Confrontation between armed gangs and the police',1,[ 18 ],./0.png
-72.331487,18.534465,404,West,Port-au-Prince,2025/06/27 11:09:00.723-04,,1,[ 18 ],./0.png
-72.29797,18.584651,409,West,Tabarre,2025/06/27 22:21:00-04,b'Clash between gangs',1,[ 18 ],./0.png
-72.338724,18.530176,411,West,Port-au-Prince,2025/06/28 12:44:00-04,,1,[ 18 ],./0.png
-72.336499,18.541519,412,West,Port-au-Prince,2025/06/28 15:28:00-04,,1,[ 18 ],./0.png
-72.344405,18.541793,413,West,Port-au-Prince,2025/06/28 15:39:00-04,,1,[ 18 ],./0.png
-72.344808,18.539843,414,West,Port-au-Prince,2025/06/28 16:40:00-04,,1,[ 18 ],./0.png
-72.286366,18.450172,416,West,Kenscoff,2025/06/29 22:51:00-04,,1,[ 18 ],./0.png
-72.340241,18.541517,422,West,Port-au-Prince,2025/07/01 16:36:00-04,,1,[ 18 ],./0.png
-72.103031,18.833465,448,Centre,Mirebalais,2025/07/05 12:40:00-04,,1,[ 18 ],./0.png
-72.375,18.531944,457,West,Carrefour,2025/07/06 19:09:00-04,,1,[ 18 ],./0.png
-72.304167,18.589167,463,West,Cite Soleil,2025/07/07 15:14:00-04,b'Armed men in the area',4,[ 18 ],./0.png
-72.229709,18.580833,475,West,Croix-Des-Bouquets,2025/07/09 16:14:00-04,,1,[ 18 ],./0.png
-72.311625,18.55236,484,West,Delmas,2025/07/01 15:42:00-04,,1,[ 18 ],./0.png
-72.316775,18.545539,485,West,Port-au-Prince,2025/07/10 17:54:00-04,,1,[ 18 ],./0.png
-72.316144,18.54976,486,West,Delmas,2025/07/10 17:37:00-04,,1,[ 18 ],./0.png
-72.285198,18.450041,424,West,Kenscoff,2025/07/02 08:36:00-04,,1,"[ 3, 15, 18 ]",./0.png
-72.285782,18.44942,487,West,Kenscoff,2025/07/11 09:36:00.688-04,b'Clash between gang and police in Furcy area',1,[ 18 ],./0.png
-72.28682,18.452173,489,West,Kenscoff,2025/07/11 14:50:00.518-04,b'Clash between gang and police at Viard area',1,[ 18 ],./0.png
-72.286949,18.450186,490,West,Kenscoff,2025/07/11 17:07:00.651-04,b'Clash between gang and police at Godet area',1,[ 18 ],./0.png
-72.286366,18.448244,499,West,Kenscoff,2025/07/12 22:50:00-04,,1,[ 18 ],./0.png
-72.29797,18.557361,500,West,Delmas,2025/07/12 23:11:00-04,,1,[ 18 ],./0.png
-72.295886,18.544767,501,West,Delmas,2025/07/12 22:11:00-04,,1,[ 18 ],./0.png
-72.28616,18.449519,503,West,Kenscoff,2025/07/13 10:27:00-04,,1,[ 18 ],./0.png
-72.316788,18.545732,504,West,Delmas,2025/07/13 11:51:00-04,,1,[ 18 ],./0.png
-72.25054,18.523585,507,West,Petion-Ville,2025/07/13 20:38:00-04,,1,[ 18 ],./0.png
-72.300407,18.417251,511,West,Kenscoff,2025/07/14 12:38:00-04,,1,[ 18 ],./0.png
-72.225254,18.606633,512,West,Croix-Des-Bouquets,2025/07/14 15:15:00-04,,1,[ 18 ],./0.png
-72.311668,18.552354,513,West,Delmas,2025/07/14 20:36:00-04,,1,[ 18 ],./0.png
-72.298159,18.556354,515,West,Delmas,2025/07/15 07:39:00-04,b'Gang Activity in progress',1,[ 18 ],./0.png
-72.286065,18.449356,517,West,Kenscoff,2025/07/15 20:21:00-04,,1,[ 18 ],./0.png
-72.311681,18.552324,523,West,Delmas,2025/07/15 18:51:00-04,,1,[ 18 ],./0.png
-72.249289,18.520186,525,West,Petion-Ville,2025/07/15 22:17:00-04,,1,[ 18 ],./0.png
-72.31163,18.552447,531,West,Delmas,2025/07/16 18:15:00-04,,1,[ 18 ],./0.png
-72.286228,18.456698,538,West,Kenscoff,2025/07/17 18:15:00-04,b'Police operation in progress with kamikaze drone',1,[ 18 ],./0.png
-72.311664,18.552286,571,West,Delmas,2025/07/23 13:38:00.685-04,,1,[ 18 ],./0.png
-72.311658,18.552312,572,West,Delmas,2025/07/23 15:54:00.335-04,,1,[ 18 ],./0.png
-72.286408,18.450064,583,West,Kenscoff,2025/07/25 07:48:00-04,,1,[ 18 ],./0.png
-72.286022,18.450169,585,West,Kenscoff,2025/07/25 10:34:00-04,,1,[ 18 ],./0.png
-72.316775,18.545615,588,West,Port-au-Prince,2025/07/25 13:19:00-04,,1,[ 18 ],./0.png
-72.30575,18.586682,626,West,Cite Soleil,2025/07/29 11:22:00.944-04,,1,[ 18 ],./0.png
-72.099564,18.834359,637,Centre,Mirebalais,2025/07/31 08:13:00.012-04,,1,[ 18 ],./0.png
-72.304881,18.585537,656,West,Cite Soleil,2025/08/02 11:09:00.405-04,,1,[ 18 ],./0.png
-72.309684,18.550234,669,West,Delmas,2025/08/04 15:15:00-04,b'Confrontation between armed gang and the police',1,[ 18 ],./0.png
-72.104836,18.83442106,681,Centre,Mirebalais,2025/08/06 07:35:00-04,,1,[ 18 ],./0.png
-72.335926,18.538506,698,West,Port-au-Prince,2025/08/07 11:35:00-04,b'Clash between gang and police',1,[ 18 ],./0.png
-71.93573,18.827991,701,Centre,Lascahobas,2025/08/07 12:20:00-04,b'Clash between gang and police.',1,[ 18 ],./0.png
-72.31126338,18.55118467,710,West,Delmas,2025/08/08 03:30:00-04,b'Clash between gang and police.',1,[ 18 ],./0.png
-72.31130362,18.55257305,727,West,Delmas,2025/08/09 17:45:00-04,b'Confrontation between gang and police',1,[ 18 ],./0.png
-72.3120345999999,18.4806679666484,759,West,Petion-Ville,2025/08/13 11:55:00-04,b'Confrontation between gang and police / self-defense brigade. ',1,[ 18 ],./0.png
